PROPERTYNAME,,,REPRESENTATIVE,,EMAILADDRESS,,,,UNIQUEID
Bacolet Beach Club,,,Gloria Jones Knapp,,info@bacoletbeachclub.com,,,,9145
Belleviste Apartments,,,Mary Almandoz,,bellevisteapartments@gmail.com,,,,3694
Blue Waters Inn,,,Marcel van Reeken,,mvanreeken@bluewatersinn.com,,,,4403
Canoe Bay Beach Resort,,,Carol Ann Birchwood James,,canoebay@yahoo.com,,,,2644
Coco Reef Resort & Spa,,,Lyle Paul,,cocoreef-tobago@trinidad.net,,,,3762
Crown Point Beach Hotel,,,Sharon Ferguson,,sferguson@crownpointbeachhotel.com,,,,1316
Golden Thistle Hotel,,,Michael Callender,,goldenthistlehotel@gmail.com,,,,5702
Kariwak Village Hotel,,,Allan Clovis,,kariwak@gmail.com,,,,9252
Magdalena Grand Beach & Golf Resort,,,Vinod Bajaj,,vinod.bajaj@magdalenagrand.com,,,,8674
Mount Irvine Bay Resort,,,Alpha Lorde,,alpha.lorde@mtirvine.com,,,,9740
Green Palm Boutique Hotel,,,Shareed Hosein,,shareed@greenpalm.com,,,,2684
Tropikist Beach Hotel,,,Safiya Hosein,,tropikistbeachhotelresort@gmail.com,,,,1370
Store Bay Holiday Resort,,,Dawn Warrick,,store_bay@hotmail.com,,,,1225
Sunspree Resorts,,,Karen,,sunspreeresort@ramlagansholding.com,,,,1535
Grafton Beach Hotel,,,Nalini Galbaransingh,,nalini@singhsgroup.com,,,,7799
Le Grand Courlan,,,Nalini Galbaransingh,,nalini@singhsgroup.com,,,,3036
Castlewhite Hotel ,,,Melvin White,,manager@castlewhitehotel.com,,,,4418
Viola's Place,,,Joan Brathwaite,,violasplace22@gmail.com,,,,7128
Le Chateau,,,Joshua Stewart,,reservation@stayatlechateau.com,,,,8096
TECU Coral Reef,,,Vernella Jack Joseph,,vernella.jack-joseph@tecutt.com,,,,1122
Starfish Tobago Resort,,,Leslie Amedee,,gm.tbhtab@candw.lc,,,,6285
Golf View Apartments,,,Cecil Caruth,,cwcaruth@yahoo.com,,,,2402
Shepherd's Inn,,,Colin Sheppard,,reservations@shepherdsinntobago.com,,,,8441
Sandy Point Village Hotel,,,Michael Small & Troy Small,,troysmall@hotmail.com,,,,2386
Douglas Apartments,,,Alison Douglas,,dougapp61@gmail.com,,,,5784
Bacolet Bay Apartment Hotels,,,Patricia Anne Cross,,crosstnt@gmail.com,,,,1538
Nabucco Resort Speyside Inn,,,Katharina Krenn,,extradivers@speysideinn.com,,,,3613
Rovanel's Resort & Conference Center,,,Lezlyn Rollocks,,lezlyn.rollocks@rovanelsresort.com,,,,8010
Stewart's Guesthouse,,,Ms Gloria Stewart,,stewartsguesthousetobago@gmail.com,,,,3117
Tropical Pleasure Resort,,,Mr  & Mrs Gerald MacFarlane,,georgiamac1@hotmail.com,,,,6719
Sandra's Summer Resort,,,Sandra Ali,,sandrasummerresort@gmail.com,,,,8102
Crusoe's Holiday Apartments,,,Janice McFarlane,,crusoesholidayapartments@gmail.com,,,,6606
Isabel's Guesthouse,,,Joseph Cadogan,,bacolet@bellsouth.net,,,,6681
Sunshine Holiday Apartments ,,,Bernadette Elias,,eliasbernadette1@gmail.com,,,,7052
Summerland Suites,,,Michael Small & Troy Small,,troysmall@hotmail.com,,,,4361
Johnston Apartments,,,Gerard Johnston,,johnapt.tt@gmail.com,,,,7107
Comfort Inn Suites Tobago,,,Maria Yip-John,,myip-john@comfortsuitestobago.com,,,,6677
